iter	Passed	Remaining
620	1291	788
621	1293	785
622	1295	783
623	1297	781
624	1299	779
625	1301	777
626	1303	775
627	1305	773
628	1307	771
629	1309	768
630	1310	766
631	1312	764
632	1314	762
633	1316	760
634	1318	758
635	1320	755
636	1322	753
637	1324	751
638	1326	749
639	1328	747
640	1329	744
641	1331	742
642	1333	740
643	1335	738
644	1337	736
645	1339	733
646	1340	731
647	1342	729
648	1344	727
649	1346	724
650	1348	722
651	1349	720
652	1351	718
653	1353	716
654	1355	714
655	1357	711
656	1359	709
657	1361	707
658	1362	705
659	1364	703
660	1366	700
661	1368	698
662	1370	696
663	1372	694
664	1374	692
665	1375	689
666	1377	687
667	1379	685
668	1381	683
669	1382	681
670	1384	678
671	1385	676
672	1387	674
673	1389	672
674	1391	669
675	1393	667
676	1394	665
677	1397	663
678	1399	661
679	1401	659
680	1402	657
681	1404	655
682	1406	652
683	1408	650
684	1410	648
685	1412	646
686	1414	644
687	1417	642
688	1418	640
689	1420	638
690	1422	636
691	1424	633
692	1426	631
693	1427	629
694	1429	627
695	1431	625
696	1433	623
697	1435	621
698	1437	618
699	1439	616
700	1441	614
701	1442	612
702	1444	610
703	1446	608
704	1448	606
705	1450	603
706	1451	601
707	1453	599
708	1455	597
709	1457	595
710	1459	593
711	1461	591
712	1463	589
713	1465	587
714	1468	585
715	1469	583
716	1471	580
717	1473	578
718	1475	576
719	1477	574
720	1479	572
721	1481	570
722	1483	568
723	1484	566
724	1486	563
725	1487	561
726	1489	559
727	1491	557
728	1493	555
729	1495	553
730	1497	551
731	1499	548
732	1501	546
733	1503	544
734	1504	542
735	1506	540
736	1508	538
737	1510	536
738	1512	534
739	1514	532
740	1516	529
741	1518	527
742	1519	525
743	1522	523
744	1524	521
745	1525	519
746	1527	517
747	1529	515
748	1531	513
749	1533	511
750	1535	508
751	1537	506
752	1539	504
753	1540	502
754	1542	500
755	1544	498
756	1546	496
757	1548	494
758	1550	492
759	1552	490
760	1554	488
761	1556	486
762	1558	484
763	1560	482
764	1562	480
765	1564	477
766	1566	475
767	1568	473
768	1570	471
769	1571	469
770	1573	467
771	1576	465
772	1578	463
773	1580	461
774	1582	459
775	1583	457
776	1585	455
777	1587	452
778	1589	450
779	1591	448
780	1592	446
781	1594	444
782	1596	442
783	1598	440
784	1600	438
785	1602	436
786	1604	434
787	1606	432
788	1607	429
789	1609	427
790	1611	425
791	1613	423
792	1615	421
793	1617	419
794	1618	417
795	1620	415
796	1622	413
797	1624	411
798	1626	409
799	1628	407
800	1630	405
801	1632	403
802	1634	401
803	1636	398
804	1638	396
805	1640	394
806	1642	392
807	1644	390
808	1645	388
809	1647	386
810	1649	384
811	1651	382
812	1653	380
813	1655	378
814	1657	376
815	1659	374
816	1661	372
817	1663	370
818	1665	368
819	1667	366
820	1669	363
821	1671	361
822	1673	359
823	1675	357
824	1677	355
825	1679	353
826	1680	351
827	1682	349
828	1684	347
829	1686	345
830	1688	343
831	1690	341
832	1692	339
833	1694	337
834	1696	335
835	1698	333
836	1700	331
837	1702	329
838	1704	327
839	1706	325
840	1708	322
841	1710	320
842	1712	318
843	1714	316
844	1716	314
845	1718	312
846	1720	310
847	1722	308
848	1724	306
849	1725	304
850	1727	302
851	1728	300
852	1730	298
853	1732	296
854	1734	294
855	1736	292
856	1738	290
857	1739	287
858	1741	285
859	1743	283
860	1745	281
861	1748	279
862	1750	277
863	1752	275
864	1754	273
865	1756	271
866	1758	269
867	1760	267
868	1762	265
869	1765	263
870	1767	261
871	1769	259
872	1772	257
873	1774	255
874	1776	253
875	1778	251
876	1780	249
877	1782	247
878	1784	245
879	1786	243
880	1788	241
881	1790	239
882	1792	237
883	1793	235
884	1795	233
885	1797	231
886	1799	229
887	1801	227
888	1804	225
889	1806	223
890	1808	221
891	1810	219
892	1812	217
893	1814	215
894	1815	213
895	1818	211
896	1819	208
897	1821	206
898	1823	204
899	1825	202
900	1827	200
901	1829	198
902	1831	196
903	1833	194
904	1835	192
905	1837	190
906	1839	188
907	1840	186
908	1842	184
909	1844	182
910	1846	180
911	1848	178
912	1851	176
913	1853	174
914	1856	172
915	1857	170
916	1859	168
917	1861	166
918	1863	164
919	1865	162
920	1866	160
921	1868	158
922	1869	155
923	1871	153
924	1873	151
925	1874	149
926	1876	147
927	1878	145
928	1879	143
929	1881	141
930	1883	139
931	1884	137
932	1886	135
933	1887	133
934	1889	131
935	1891	129
936	1892	127
937	1894	125
938	1896	123
939	1898	121
940	1900	119
941	1902	117
942	1904	115
943	1906	113
944	1908	111
945	1908	108
946	1910	106
947	1912	104
948	1914	102
949	1916	100
950	1918	98
951	1919	96
952	1921	94
953	1923	92
954	1925	90
955	1927	88
956	1929	86
957	1931	84
958	1933	82
959	1935	80
960	1937	78
961	1939	76
962	1942	74
963	1944	72
964	1946	70
965	1948	68
966	1950	66
967	1952	64
968	1954	62
969	1955	60
970	1957	58
971	1959	56
972	1961	54
973	1963	52
974	1965	50
975	1966	48
976	1968	46
977	1970	44
978	1972	42
979	1974	40
980	1976	38
981	1978	36
982	1979	34
983	1981	32
984	1983	30
985	1985	28
986	1987	26
987	1989	24
988	1991	22
989	1993	20
990	1995	18
991	1997	16
992	1998	14
993	2000	12
994	2003	10
995	2005	8
996	2007	6
997	2008	4
998	2010	2
999	2012	0
