iter	RMSE
445	4647736.79
446	4644423.846
447	4641212.961
448	4636685.914
449	4633917.683
450	4632383.187
451	4631551.561
452	4628480.547
453	4627406.075
454	4623564.424
455	4619834.72
456	4614913.338
457	4611480.327
458	4607651.277
459	4604005.127
460	4601288.422
461	4599268.702
462	4598057.356
463	4594231.049
464	4592075.525
465	4587295.179
466	4583993.559
467	4581262.854
468	4580724.687
469	4576685.779
470	4574160.1
471	4570761.08
472	4569327.639
473	4567059.947
474	4562913.817
475	4561810.95
476	4557009.116
477	4551855.925
478	4551687.821
479	4549679.118
480	4546839.705
481	4546700.018
482	4544203.884
483	4543646.58
484	4540375.392
485	4538068.484
486	4535001.757
487	4532614.616
488	4532042.565
489	4529840.844
490	4527225.107
491	4526569.788
492	4526139.514
493	4522816.749
494	4519044.159
495	4513565.986
496	4509572.567
497	4507149.862
498	4505957.485
499	4502514.939
500	4500439.89
501	4496527.599
502	4493557.878
503	4490373.111
504	4488021.454
505	4484140.446
506	4483612.172
507	4479678.824
508	4479331.954
509	4476867.024
510	4474549.636
511	4470656.233
512	4466945.084
513	4466503.814
514	4464189.694
515	4461093.259
516	4460968.193
517	4459781.891
518	4459471.413
519	4456518.036
520	4451951.001
521	4449414.647
522	4447476.958
523	4445501.996
524	4442002.89
525	4440285.822
526	4438200.428
527	4434528.122
528	4431181.79
529	4429722.383
530	4425826.788
531	4422650.143
532	4420141.379
533	4415789.691
534	4411805.598
535	4411717.16
536	4410631.765
537	4407310.415
538	4404459.066
539	4403182.655
540	4401099.594
541	4399479.785
542	4396347.232
543	4391812.529
544	4389582.371
545	4385952.047
546	4384889.588
547	4382651.732
548	4380614.845
549	4378550.677
550	4377133.22
551	4376709.845
552	4375948.294
553	4374049.015
554	4371050.773
555	4368089.622
556	4366598.875
557	4364287.433
558	4361959.006
559	4361263.326
560	4360576.121
561	4357347.093
562	4357127.124
563	4356463.966
564	4353938.54
565	4350668.484
566	4348935.458
567	4346502.208
568	4342618.477
569	4339408.19
570	4336140.933
571	4334527.896
572	4332205.543
573	4328548.395
574	4327852.588
575	4324976.926
576	4322831.254
577	4321463.498
578	4321348.311
579	4318089.204
580	4314538.393
581	4312624.617
582	4311021.824
583	4309707.398
584	4306783.909
585	4304569.383
586	4304488.481
587	4302824.992
588	4302169.346
589	4302060.789
590	4301629.741
591	4299176.282
592	4298845.747
593	4293505.653
594	4293196.13
595	4290325.131
596	4290219.338
597	4288067.038
598	4286739.37
599	4283835.713
600	4279224.466
601	4277674.407
602	4274296.889
603	4270627.183
604	4268246.463
605	4266579.058
606	4265100.465
607	4264093.732
608	4262025.52
609	4259124.366
610	4258222.309
611	4256832.303
612	4255955.083
613	4252287.572
614	4250529.607
615	4250180.481
616	4247199.027
617	4245005.803
618	4243608.579
619	4243037.928
620	4240426.749
621	4238152.286
622	4235874.269
623	4235774.95
624	4234360.431
625	4232586.335
626	4231072.233
627	4227781.363
628	4224600.188
629	4224189.502
630	4222874.048
631	4222031.383
632	4219072.493
633	4217376.427
634	4214420.78
635	4211567.968
636	4209911.626
637	4206743.875
638	4205892.731
639	4205280.477
640	4203345.363
641	4202485.641
642	4198864.633
643	4196466.303
644	4194786.47
645	4191545.801
646	4188762.745
647	4187429.085
648	4186328.951
649	4186236.053
650	4183391.978
651	4179834.507
652	4177281.251
653	4175459.192
654	4172643.466
655	4172130.196
656	4169460.049
657	4168568.658
658	4166575.69
659	4164451.191
660	4161577.655
661	4161154.522
662	4161065.286
663	4160978.496
664	4158900.796
665	4157788.959
666	4157523.451
667	4156820.846
668	4155116.69
669	4153812.901
670	4153578.65
671	4151511.382
672	4150173.494
673	4149519.748
674	4146729.753
675	4145021.428
676	4144789.048
677	4143456.866
678	4142329.678
679	4139989.086
680	4139423.271
681	4138836.48
682	4136267.215
683	4135383.574
684	4133317.27
685	4132785.36
686	4129835.901
687	4126818.902
688	4124930.146
689	4122681.974
690	4121534.317
691	4120138.875
692	4115862.517
693	4115383.743
694	4114631.048
695	4112110.646
696	4110234.984
697	4109579.402
698	4108343.913
699	4105430.376
700	4104102.636
701	4103826.831
702	4101457.839
703	4099125.466
704	4099061.752
705	4097802.489
706	4097582.01
707	4096167.971
708	4095504.543
709	4092896.713
710	4090579.618
711	4089162.068
712	4088401.858
713	4087390.185
714	4084397.962
715	4082954.01
716	4080842.187
717	4079436.811
718	4076260.75
719	4075565.859
720	4071847.053
721	4071000.212
722	4069670.406
723	4067444.191
724	4067393.869
725	4067013.127
726	4064368.144
727	4060996.177
728	4059159.704
729	4058073.779
730	4055127.105
731	4052567.218
732	4050061.161
733	4048167.731
734	4048091.697
735	4045433.432
736	4044941.254
737	4042626.794
738	4041145.313
739	4039791.901
740	4037044.743
741	4035626.577
742	4032270.85
743	4030200.617
744	4029310.257
745	4028474.686
746	4028015.632
747	4027387.729
748	4026947.682
749	4025803.596
750	4025539.378
751	4024682.114
752	4023886.434
753	4022694.379
754	4021660.803
755	4018697.504
756	4018297.602
757	4016169.329
758	4015861.803
759	4014544.589
760	4012206.118
761	4011586.651
762	4010806.39
763	4007093.861
764	4003632.287
765	4002674.676
766	3999919.797
767	3998033.987
768	3997984.906
769	3997287.975
770	3997129.259
771	3995296.067
772	3994498.377
773	3991540.986
774	3990219.003
775	3988466.093
776	3988274.132
777	3986167.44
778	3984185.007
779	3981761.658
780	3981714.873
781	3980934.889
782	3980474.473
783	3978498.383
784	3977399.885
785	3976674.3
786	3974181.688
787	3973336.599
788	3969531.612
789	3967922.656
790	3965778.127
791	3964930.757
792	3963165.185
793	3961995.064
794	3961602.506
795	3960023.543
796	3956702.641
797	3954948.438
798	3953061.676
799	3951791.031
800	3949737.849
801	3947014.497
802	3943483.692
803	3942597.051
804	3942224.761
805	3940231.369
806	3937889.392
807	3936089.014
808	3934839.074
809	3934132.208
810	3933460.554
811	3932422.838
812	3929821.547
813	3928050.512
814	3925456.361
815	3923660.194
816	3921175.179
817	3920221.578
818	3917882.619
819	3917706.774
820	3917426.791
821	3916388.83
822	3915078.313
823	3913217.117
824	3912962.849
825	3912676.656
826	3911827.639
827	3909786.089
828	3908138.08
829	3907229.432
830	3905673.532
831	3903612.958
832	3902887.345
833	3901666.257
834	3900587.448
835	3898195.497
836	3896134.212
837	3893953.084
838	3893340.533
839	3891837.857
840	3890333.082
841	3888215.041
842	3887134.402
843	3885638.64
844	3883735.464
845	3883055.642
846	3881792.756
847	3879601.463
848	3877925.625
849	3877479.878
850	3877042.227
851	3876988.722
852	3874733.971
853	3873673.561
854	3872517.119
855	3871648.098
856	3869294.328
857	3868605.9
858	3866551.41
859	3864178.034
860	3861613.181
861	3860704.625
862	3858147.768
863	3857971.739
864	3855359.018
865	3853226.607
866	3851088.024
867	3849389.76
868	3846297.29
869	3844314.949
870	3843579.426
871	3842529.385
872	3840832.117
873	3839784.66
874	3837719.828
875	3836168.35
876	3835352.544
877	3834765.702
878	3832960.833
879	3832703.716
880	3830401.638
881	3829046.239
882	3828268.868
883	3825969.786
884	3823748.898
885	3823486.023
886	3821347.926
887	3820801.853
888	3819369.942
889	3816135.212
890	3814788.622
891	3813062.849
892	3811681.463
893	3809135.973
894	3806823.214
895	3804771.954
896	3802625.62
897	3801469.784
898	3800332.191
899	3799258.661
900	3798509.446
901	3798106.06
902	3796981.285
903	3796913.854
904	3795906.114
905	3795622.445
906	3793415.838
907	3792178.523
908	3789475.684
909	3787514.001
910	3785732.373
911	3785385.979
912	3784245.814
913	3783917.153
914	3783017.503
915	3780876.524
916	3779013.186
917	3777799.162
918	3776736.234
919	3776087.764
920	3774598.464
921	3771455.298
922	3770291.503
923	3769730.851
924	3768592.181
925	3767729.229
926	3767179.549
927	3765122.004
928	3764271.301
929	3763551.175
930	3762766.654
931	3760717.043
932	3759939.712
933	3759204.833
934	3756525.036
935	3756382.46
936	3754967.67
937	3752902.977
938	3750899.08
939	3750132.084
940	3749140.208
941	3747540.819
942	3745561.408
943	3743114.417
944	3741774.646
945	3741727.539
946	3740988.364
947	3739858.98
948	3737959.651
949	3736137.791
950	3735396.611
951	3734184.021
952	3732803.294
953	3730813.629
954	3729187.114
955	3728188.566
956	3727684.911
957	3726751.234
958	3724721.441
959	3723859.217
960	3722661.58
961	3722268.875
962	3719764.717
963	3719392.284
964	3715754.175
965	3714657.081
966	3714029.63
967	3712672.714
968	3710241.997
969	3710127.002
970	3707453.988
971	3706947.899
972	3706667.496
973	3705817.051
974	3704759.044
975	3704124.128
976	3702960.571
977	3700646.064
978	3698409.568
979	3697540.627
980	3695858.184
981	3694534.428
982	3693607.699
983	3692878.697
984	3690516.54
985	3689602.828
986	3688030.841
987	3687669.504
988	3686046.781
989	3685093.237
990	3683152.909
991	3682437.773
992	3681742.883
993	3680311.462
994	3680176.495
995	3677814.265
996	3675311.406
997	3674057.705
998	3672757.113
999	3671278.867
