,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,new_or_old,parking,furnished_status,lift,type_of_building
133,13600000,910,19.1746739,72.94310379999999,2,2,0,-1,1,0,0,0,1
134,18500000,1000,19.07907,72.907976,2,2,0,-1,0,0,0,0,1
136,25000000,800,19.05861,72.84431,2,2,2,-1,1,2,0,2,1
138,28000000,1513,19.110616,72.856052,3,3,1,1,0,1,0,1,1
140,12000000,860,19.202279,72.82840999999999,2,2,0,-1,1,0,2,0,1
143,28900000,1700,19.136807,72.930675,3,3,0,-1,1,0,1,0,1
144,18000000,1157,19.12998,72.933221,2,2,0,-1,1,0,0,0,1
145,55000000,1500,19.0815087,72.8376755,3,3,0,-1,1,0,1,0,1
146,21000000,1050,19.12882804870605,72.8330078125,2,2,0,1,0,0,0,0,1
147,12600000,925,19.043911,72.89877800000001,2,2,1,-1,1,1,0,1,1
149,17500000,1075,19.111397,72.90142800000001,2,2,1,-1,1,1,0,1,1
151,15100000,764,19.131688,72.840701,2,2,0,-1,1,0,1,0,1
152,18500000,667,19.118157,72.856716,2,2,1,-1,1,1,1,1,1
154,11900000,1060,19.202279,72.82840999999999,2,2,0,-1,1,0,2,0,1
155,24400000,980,19.1746739,72.94310379999999,3,3,0,-1,1,0,0,0,1
156,29000000,1670,19.1746739,72.94310379999999,3,3,0,-1,0,0,0,0,1
157,28000000,1200,19.03731,72.87871,2,2,2,-1,1,2,1,2,1
158,22500000,1250,19.133092,72.93475,3,3,1,-1,1,1,1,1,1
159,26500000,1050,19.073390300000003,72.8654319,2,2,0,1,1,0,-1,0,1
160,18000000,998,19.122307,72.89599270000001,2,2,0,1,0,0,-1,0,1
161,31000000,1156,19.0937492,72.922604,2,2,2,1,0,2,-1,2,1
162,20500000,1350,19.10919095,72.88469140000001,2,2,0,1,0,0,-1,0,1
164,33000000,1000,19.13832,72.81002,2,2,0,1,0,0,-1,0,1
165,13700000,960,19.167625,72.842016,2,2,0,-1,1,0,0,0,1
166,17500000,900,19.211561,72.87060799999999,2,2,0,1,0,0,-1,0,1
167,47000000,1900,19.0051754,72.8498377,3,3,0,1,1,0,1,0,1
168,16000000,1100,19.1981206009705,72.8781756998955,3,3,0,1,1,0,-1,0,2
169,21000000,1307,19.183819,72.86111600000001,2,2,2,1,0,2,-1,2,1
170,26500000,1100,19.043911,72.89877800000001,2,2,0,1,0,0,1,0,1
171,35000000,1200,19.08147,72.86251,3,3,2,1,1,2,1,2,1
173,25000000,1300,19.191119,72.83116,3,3,0,1,1,0,-1,0,1
174,22000000,1050,19.11559447,72.90996700000001,2,2,0,1,0,0,-1,0,1
176,26500000,1360,19.1066926049648,72.898956721924,3,2,1,1,0,1,-1,1,1
177,22500000,850,19.1297768,72.8330161,2,2,0,1,0,0,-1,0,1
178,29000000,1430,19.12238883972168,72.86602783203125,3,3,1,1,0,1,0,1,1
179,13799999,850,19.207601,72.879171,2,2,0,-1,1,0,1,0,1
182,52500000,1500,19.100385665893555,72.8504638671875,3,3,0,1,1,0,1,0,1
183,25500000,1313,19.107616424560547,72.89891815185547,3,2,1,1,0,1,0,1,1
185,38000000,1157,19.006180342037,72.8286779623475,2,2,0,1,0,0,-1,0,1
186,48500000,1100,19.06680489,72.85129455,3,3,0,1,1,0,-1,0,1
187,29000000,1550,19.046411,72.91576500000001,3,3,0,1,0,0,-1,0,1
188,18000000,980,19.075029373168945,72.90982055664062,2,2,0,1,0,0,0,0,1
190,21000000,1100,19.155994,72.847275,3,3,1,1,1,1,-1,1,1
191,18500000,955,19.02935005594641,72.88030444699154,2,2,1,1,0,1,-1,1,1
192,47000000,1100,18.914451599121094,72.82052612304688,2,2,1,1,0,1,0,1,1
195,17500000,915,19.217309263073,72.8705672146112,2,2,2,1,0,2,-1,2,1
197,14300000,875,19.166696,72.937422,2,2,0,1,0,0,-1,0,1
198,16900000,880,19.20393269,72.82766012,2,3,0,1,0,0,-1,0,1
201,35000000,1650,19.169705,72.853001,3,3,0,1,0,0,-1,0,1
202,18500000,1046,19.0799983,72.8545019,2,2,0,1,0,0,0,0,1
203,15900000,1104,19.149900436401367,72.93113708496094,2,2,0,1,0,0,1,0,1
204,38500000,1150,19.07072639465332,72.83612823486328,2,2,1,1,1,1,0,1,1
205,27500000,1150,19.05634,72.91731999999999,2,2,0,1,0,0,-1,0,1
207,13500000,850,18.94813,72.82735,3,2,0,1,0,0,1,0,1
208,49900000,1850,19.057928,72.900514,4,4,0,1,1,0,-1,0,1
209,12500000,850,19.2783121,72.8580188,2,2,1,1,0,1,-1,1,1
210,22000000,1250,19.1590077,72.86927109999999,2,2,0,1,1,0,-1,0,1
211,22000000,1250,19.1590077,72.86927109999999,2,2,1,1,0,1,-1,1,1
212,19500000,1296,19.0646382,72.8958265,3,2,1,1,0,1,-1,1,1
213,21500000,1200,19.10919095,72.88469140000001,2,2,0,1,0,0,-1,0,1
214,28000000,1150,19.01751708984375,72.84711456298828,2,3,1,1,0,1,0,1,1
215,29000000,1565,19.128953,72.9298045,3,2,2,1,0,2,-1,2,1
216,22000000,1150,19.1345125,72.86339834,2,2,0,-1,0,0,0,0,1
217,32500000,1755,19.191842,72.83458123,3,4,0,-1,0,0,0,0,1
218,22500000,1304,19.114625,72.88469599999999,2,2,1,1,0,1,-1,1,1
220,40000000,1000,18.944761,72.793639,2,3,0,1,0,0,2,0,1
222,14500000,811,19.04267,72.87111,2,2,0,1,0,0,1,0,1
224,12000000,810,19.159226,72.932291,2,2,0,1,0,0,-1,0,1
225,19000000,700,19.032798767089844,72.89635467529297,2,2,1,1,1,1,1,1,1
226,25300000,1450,19.181124,72.839798,3,3,0,1,1,0,-1,0,1
